text,intent,label
Book a restaurant in Everson Nevada that serves conchiglie for two people.,BookRestaurant,1
What are the movie schedules,SearchScreeningEvent,6
Book a table for a party of 7 next year in ID.,BookRestaurant,1
Put nothing remains the same on my summer music playlist,AddToPlaylist,0
Book a table at a diner which serves thousand island dressing in Ivory Coast.,BookRestaurant,1
What is the weather going to be like on st. patrick's day?,GetWeather,2
find A man needs a maid,SearchCreativeWork,5
Give Modern Glamour: The Art of Unexpected Style three out of 6 stars,RateBook,4
List films in the neighborhood.,SearchScreeningEvent,6
For my playlist Post Garage Wave Revival add the name  Eternal Prisoner,AddToPlaylist,0
Put Ron Wood in the Digster Reggae playlist.,AddToPlaylist,0
find Chained Heat,SearchScreeningEvent,6
rate Mus of Kerbridge a one,RateBook,4
What is the TV show Comfort?,SearchCreativeWork,5
book fast food that is highly rated,BookRestaurant,1
I want a reservation for 11:16:07 at The Fort in South Carolina.,BookRestaurant,1
Book a restaurant in Belgium for ten in 24 weeks.,BookRestaurant,1
Find a show called Star Trek: Starfleet Academy Starship Bridge Simulator.,SearchCreativeWork,5
find the TV show Hot Air,SearchCreativeWork,5
Add another song to daphne's retrowave outrun playlist.,AddToPlaylist,0
give zero out of 6 points to Marxism and the Oppression of Women,RateBook,4
I would like to book a restaurant in Lebanon,BookRestaurant,1
I want to see movie times at Neighborhood Cinema Group.,SearchScreeningEvent,6
On jan. the twentieth what will it feel like in CT or the area not far from it,GetWeather,2
I'd like to see the current showtimes for His Kind of Woman,SearchScreeningEvent,6
book a restaurant for 4 by shawn's work close by,BookRestaurant,1
Find In the Line of Duty: Street War.,SearchCreativeWork,5
Give the current novel a 3 out of 6 rating,RateBook,4
Where is the TV show Bomberman Land Touch! 2,SearchCreativeWork,5
book a table for eight in Graf far away,BookRestaurant,1
Find the schedule for Chronicle of My Mother at the nearest cinema in 1 minute and 8 seconds.,SearchScreeningEvent,6
rate this novel a 4,RateBook,4
give four out of 6 points to current novel,RateBook,4
What is the forecast for DE on 9/11/2035,GetWeather,2
I rate the current textbook a 1 out of 6.,RateBook,4
add Joelia Savitsjeva in 88 keys,AddToPlaylist,0
Find Just South of Heaven,SearchCreativeWork,5
book a Kuwait place at seven am at The Middle East,BookRestaurant,1
What time does Johnny Got His Gun play,SearchScreeningEvent,6
Tell me when it will be warmer in my current position,GetWeather,2
rate this book called Kings of the High Frontier four points,RateBook,4
Add Sarah Vaughan to the spa treatment playlist.,AddToPlaylist,0
Show me the closest movie house playing animated movies please.,SearchScreeningEvent,6
What is the weather forecast in six weeks in LA,GetWeather,2
Please pull up the trailer for Stares and Whispers,SearchCreativeWork,5
find the closest movie theatre with animated movies,SearchScreeningEvent,6
Please put David Van Tieghem onto my throwback party playlist.,AddToPlaylist,0
what is the storm forecast in the same area of Honduras,GetWeather,2
Play me the TV show The Women of Our Home,SearchCreativeWork,5
Are there any painting of the 1st Concert Oh Yeah! 1999?,SearchCreativeWork,5
Will there be a snowstorm in William B. Ide Adobe State Historic Park,GetWeather,2
When is Old Enough showing at the movie house?,SearchScreeningEvent,6
give 4 out of 6 stars to current chronicle,RateBook,4
Show me the closest movie house playing An Unfinished Life at eight pm.,SearchScreeningEvent,6
I think that this novel should get 2 points and a rating of 6,RateBook,4
Want to find a photograph called The Nine Maidens,SearchCreativeWork,5
is Terminal Station at Cinemark Theatres,SearchScreeningEvent,6
add a j mclean to rock to work,AddToPlaylist,0
Will it get chillier in Sinclair in 8 hours,GetWeather,2
Find The Fire in Our Throats Will Beckon the Thaw TV show,SearchCreativeWork,5
Add Hanging On to my just dance by aftercluv playlist.,AddToPlaylist,0
The trapaholics needs another artist added.,AddToPlaylist,0
"add Aprite le finestre to my This Is Earth, Wind & Fire playlist",AddToPlaylist,0
"book a restaurant in Fort Gates, FL",BookRestaurant,1
Find a reservation for 2 at a restaurant for pizza,BookRestaurant,1
how's the weather in Brookdale Zimbabwe,GetWeather,2
What is the weather like in Hebbronville Venezuela,GetWeather,2
put four rating on The Raging Quiet,RateBook,4
give zero points out of 6 to The Devil in a Forest,RateBook,4
Make me a reservation in TN somewhere nearby for a party of 4,BookRestaurant,1
show movie The Skeptic – Das teuflische Haus,SearchCreativeWork,5
Show the Soonchild painting,SearchCreativeWork,5
Is it going to get chillier in Kuwait,GetWeather,2
will there be rainfall the day after tomorrow far from Rodna National Park,GetWeather,2
What movies are playing in the neighborhood,SearchScreeningEvent,6
What is the weather like in the city of Frewen in the country of Venezuela,GetWeather,2
Where can I find the movie schedule?,SearchScreeningEvent,6
Is it chilly in Curacao,GetWeather,2
I am giving this current essay zero out of 6 stars,RateBook,4
I want to eat mezes at the pub for 1 at four PM,BookRestaurant,1
evangeline and petra cooper want to go to a restaurant in 9 years,BookRestaurant,1
On April the twelfth in Somalia is the weather chilly,GetWeather,2
"How much hotter will it be 40 weeks from now in Blue Island, North Dakota?",GetWeather,2
Is it windy in Nauru?,GetWeather,2
add Put Your Hand Inside the Puppet Head to the playlist named Lazy Chill Afternoon,AddToPlaylist,0
add Run Rudolph Run to my rockin' playlist,AddToPlaylist,0
I want to give The First Person and Other Stories 0 out of 6 stars,RateBook,4
What's the weather in twenty five days in Hagerman National Wildlife Refuge,GetWeather,2
What's the weather in my current spot the day after tomorrow,GetWeather,2
show creativity of All for One,SearchCreativeWork,5
Find movie schedules for animated movies in the area,SearchScreeningEvent,6
Can i get the movie schedule for Megaplex Theatres.,SearchScreeningEvent,6
I want to eat at a food truck this week with my colleague and I,BookRestaurant,1
Is A Tree Grows in Brooklyn playing in one hour,SearchScreeningEvent,6
"what is the weather forecast for WA on september 11, 2021",GetWeather,2
Find the movie schedules for Cineplex Odeon Corporation.,SearchScreeningEvent,6
Find me the movie times for the Alamo Drafthouse Cinema,SearchScreeningEvent,6
Where can i watch the television show The Private Affairs of Bel Ami?,SearchCreativeWork,5
Is it supposed to gt colder in OR,GetWeather,2
Find me Haunted Castle,SearchCreativeWork,5
Make me a reservation for a party of 2,BookRestaurant,1
What will the weather be in Deer River?,GetWeather,2
rate the current saga a 4,RateBook,4
What time is Southern Theatres showing Ukraine Is Not a Brothel?,SearchScreeningEvent,6
give 0 out of 6 points to this essay,RateBook,4
rate this textbook a 4,RateBook,4
find Racing the Beam: The Atari Video Computer System,SearchCreativeWork,5
Can you send me the weather forecast for Malcom,GetWeather,2
What's the weather in South Punta Gorda Heights,GetWeather,2
I need another tune in my legendary guitar solos playlist.,AddToPlaylist,0
will you add Pat Kirtley to my covered in punk playlist,AddToPlaylist,0
what is the weather here,GetWeather,2
Book me a restaurant ten minutes from now,BookRestaurant,1
"I need a forecast for Jetmore, Massachusetts in 1 hour and 1 second from now",GetWeather,2
put this track on soul bpm my playlist,AddToPlaylist,0
Is it going to be nicer next week in Hamel Belize,GetWeather,2
Look up the This Is Halloween trailer,SearchCreativeWork,5
I give 4 of 6 stars for the saga A Severe Mercy,RateBook,4
Add giancarlo erra to my Guitar Hero Live Playlist,AddToPlaylist,0
find a movie house nearest for films,SearchScreeningEvent,6
Book me a restaurant for nine in Statham,BookRestaurant,1
Rate this album 2 out of 6,RateBook,4
add paul wickens to Lo mejor del Rock de España,AddToPlaylist,0
for this series The Magical Revival out of 6 give it a 5,RateBook,4
Can you please put this track onto my TODO NOVEDADES playlist?,AddToPlaylist,0
What time is The Face in the Moonlight showing?,SearchScreeningEvent,6
"Tell me the weather forecast for September 21, 2030 in Palau",GetWeather,2
What films are there being played at Megaplex Theatres?,SearchScreeningEvent,6
"find Wish You Were Here, a movie",SearchCreativeWork,5
find Time Squared,SearchCreativeWork,5
whats the movie schedule for movies nearby,SearchScreeningEvent,6
Will it be stormy in MA,GetWeather,2
I give the Carry Me Down chronicle three of 6 points,RateBook,4
I need a reservation for a restaurant that serves cupcakes in OH,BookRestaurant,1
find an album called From the Terrace,SearchCreativeWork,5
marcia carolus rex should get added to my Women of SXSW playlist,AddToPlaylist,0
add the artist Ruby to my digging now list,AddToPlaylist,0
rate this current book five,RateBook,4
can you give me the movie times,SearchScreeningEvent,6
what will the weather be within the same area of Weir Farm National Historic Site,GetWeather,2
find The Moldy Peaches,SearchCreativeWork,5
I have eight that would like to eat cretan in a cafeteria and need reservations.,BookRestaurant,1
Rate this album 0 points,RateBook,4
I need a reservation for 3 hours from now with a party of nine in neighboring Sweden,BookRestaurant,1
I need a weather forecast for Tallahassee-St. Marks Historic Railroad State Trail,GetWeather,2
give me the movie schedules for Southern Theatres,SearchScreeningEvent,6
Add Scarred to my This Is Zezé Di Camargo & Luciano,AddToPlaylist,0
I need a table at a restaurant in Texas for kelley and suzette,BookRestaurant,1
put this album into becky's infinite indie folk playlist,AddToPlaylist,0
what is the forecast for cloudy weather here,GetWeather,2
Give this chronicle a 4,RateBook,4
What is the weather going to be at dinner time in the Lake Le-Aqua-Na State Recreation Area,GetWeather,2
Find the Show Your Hand show,SearchCreativeWork,5
put playa fly onto my 2010 Decade playlist,AddToPlaylist,0
what's the closest movie house showing animated movies,SearchScreeningEvent,6
Weather for James M. Robb – Colorado River State Park,GetWeather,2
I need to book a table at a nearby restaurant,BookRestaurant,1
Show me the saga The Buffalo Boy,SearchCreativeWork,5
Please let me know the weather forcast of Stanislaus National Forest far in nine months,GetWeather,2
I need a list of Mann Theatres films that are playing,SearchScreeningEvent,6
add tune to my this is animal collective,AddToPlaylist,0
The book As Sure as the Dawn gets a two out of 6 rating,RateBook,4
Rate People of the Lakes 2 of 6,RateBook,4
I would say this essay deserves four points,RateBook,4
give After Worlds Collide a 1,RateBook,4
book north indian osteria at 12 am,BookRestaurant,1
Rate my current book five points out of 6,RateBook,4
I think the Dictionary of New Zealand Biography deserves 2 points,RateBook,4
What is the weather like in North Salt Lake and Afghanistan?,GetWeather,2
I need to book a reservation in Searsport at eleven am,BookRestaurant,1
Add the entity Por una cabeza to my playlist Forever Alone,AddToPlaylist,0
Please make reservations for me and my roommate somewhere in Bouvet Island,BookRestaurant,1
find The Valentyne Suite,SearchCreativeWork,5
Add this tune by Frankie Laine to my playlist kitchen swagger,AddToPlaylist,0
Can I get the movie times for the newest movies around here?,SearchScreeningEvent,6
What's the weather in Guatemala,GetWeather,2
Add this artist to my Morning Rhythm playlist,AddToPlaylist,0
Find the movie schedule for films in the area.,SearchScreeningEvent,6
Add the artist verano to my michael mantler playlist.,AddToPlaylist,0
Book a restaurant in Delhi Arkansas for three people.,BookRestaurant,1
add dark days in paradise to my gym playlist,AddToPlaylist,0
How warm is it in Darnestown,GetWeather,2
Show me the photograph called Hola Mary Lou: Prom Night II.,SearchCreativeWork,5
Show me the game English Freakbeat,SearchCreativeWork,5
What time is Return from Hell playing at the nearest movie house,SearchScreeningEvent,6
Play the Electrochemical and Solid State Letters song,SearchCreativeWork,5
Can i get the movie schedule  for films nearby.,SearchScreeningEvent,6
Rate The Seventh Decade two of 6 points,RateBook,4
Where can I get Intel Array Building Blocks,SearchCreativeWork,5
Find the Hopeless Romantic photograph,SearchCreativeWork,5
What movie theatre is playing Sherlock Holmes and Dr. Watson fifteen hours and one minute from now,SearchScreeningEvent,6
Find a soundtrack called The Christmas Shoes.,SearchCreativeWork,5
Find the schedule for Evening Clothes in 1 second.,SearchScreeningEvent,6
forecast for Guatemala,GetWeather,2
