text,sentiment,label
Night #Twitter,neutral,1
Thanks to Steffen Krause #Microsoft for a great SQL Server Session @EuropeanSP.,positive,2
RT @NeowinFeed: Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/L5m9uwD7 #neowin,neutral,1
Boa noite #Twitter (:,neutral,1
@ammmylewis... Did @CarsonFratus just ditch Twitter for sleep?? #Weirdo... #Twitter&gt;Sleep,positive,2
RT @Str8Talk123: Need to step my #twitter game! Where is #teamfollowback #miami #ff  @JAYSCANDRETH  @WhatupHOE1211,neutral,1
@Apple et je devrais arrêter de vous glorifier et ça c'est pas cool...,neutral,1
*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5,negative,0
@apple pls launch #Siri on iphone4 .. Disappointed after spending hours for upgrading to iOS5..,negative,0
"@Mommy_gaga  #Win an @Apple iPod Touch @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/qEATNMpI #PampersHelloApps",neutral,1
Is #Microsoft just another evil corporation? Beware when it comes to buying a #Windows8 PC http://t.co/QbgXXJMm,negative,0
Demo crime for #google dude in white suit. Face recognition for unlocking doesn't work if you wear make up apparently :-),neutral,1
@mnoo_ana @g6wa1998 Etha Nim. w blyala tbon #twitter :p,neutral,1
@apple and @nintendo need to partner up for the app store,neutral,1
"@apple: Multiple times siri is ""having trouble connecting to the network.""  Siri needs servers (and some exercise!)",negative,0
@iancollinsuk @apple I like what you did there...!,positive,2
@apple karaoke ceel w/ @nandamaulida @putriasmara @galuhoktriana @milatus :p,neutral,1
Bonjour #twitter,neutral,1
"EIndelijk, #Google Ice Cream Sandwich. Goodbye #Microsoft and #Apple!",neutral,1
Bill Gates llamado a declarar por un antiguo caso de... http://t.co/JReEpHNr #Wordperfect #Windows_95 #Microsoft #Novell #Bill_Gates,neutral,1
"The new Nexus looks good! UI feel a bit confusing but I guess Android users are ok with that! Now, try it :) #Google #android #nexusprime",positive,2
@jacobstanton2 you're actually #toocool for #twitter :),neutral,1
#Microsoft headquarters tomorrow! #Blogalicious @beblogalicious,neutral,1
RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!,neutral,1
"#Android #Google Galaxy Nexus and Ice Cream Sandwich Promo Video Released, Verizon Spotted in... http://t.co/1niTrTzu #DhilipSiva",neutral,1
#goodtoknow #privacy #google http://t.co/Ye337YR6,neutral,1
"RT @Startpack_ru: Ребята из #Microsoft рассказывают разработчикам #Стартпак, как можно интегрироваться с #SystemCenter через веб-сервисы ...",neutral,1
#Google #IceCreamSandwich Debuts as IPhone Sets Record: Tech. http://t.co/TrENUYF4,neutral,1
#Android #Google HTC on ICS: 'reviewing its features and functionality to determine our upgrade plans' http://t.co/GrhboOar #DhilipSiva,neutral,1
"AsiaClassifiedToday Asia Stocks, Ringgit Gain on European Outlook - Bloomberg: Asia Stocks, R... http://t.co/biHKwSTW #asia #google #biz",neutral,1
DAMN!!! #Galaxy #Nexus #Google #Android http://t.co/DL3cNtEU time for me to upgrade my Nexus S xD,neutral,1
Finally off to bed..Nighty night #twitter world!,neutral,1
Check this video out -- Sesame Street and Nat Geo TV coming to Kinect http://t.co/iw7kjQ81 #xbox #kinect #microsoft,neutral,1
$4.5B #Nortel #IP Deal Still Under #DOJ Review: #Microsoft Exec (via @IPLaw360) http://t.co/DGIkwyoi #in,neutral,1
BuzZz...: Google Wallet Introduction Video http://t.co/Q00gYwQH #Google #Wallet,neutral,1
#twitter off!!*,neutral,1
RT @frizzy_drizzy: @iTaylor_Simpson u post on #twitter to much like ery 5 sec #Damn,neutral,1
@pkedrosky @apple I am just waiting for my conf email from iCloud.,neutral,1
"You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly.",negative,0
Microsoft Stores giving away free Windows Phone devices with $499 spend http://t.co/YEVwfL4N #microsoft #windows,neutral,1
He Like Kissing The Little Pink Puss Lls #Twitter This After Dark,neutral,1
"RT @tatn: #Google, #Samsung unveil Ice Cream Sandwich-powered Galaxy Nexus http://t.co/qtiCdIvd via @CNET #Android",neutral,1
Tan linda #MiN' me arreglo el #Twitter de nuevoooo!! ♥,neutral,1
@apple Iphone's & Ipad's beautiful technology but alltogether mainly a marketing platform. It's obscure is'nt it? Apple lost it's touch.,neutral,1
@JonathanGodin Je crois que #Twitter devra ajuster ces petit problèmes désagréable !,neutral,1
Tap to focus and face recognition #ics #galaxynexus #google,neutral,1
"If you sign up for iClould, will you also get iRain? @apple #icloud.",neutral,1
#Skype ya es oficialmente parte de #Microsoft ¿Utilizas este servicio #voIP? ¿Que opinión te merece esta adquisición? #tecnologia,neutral,1
I love how it syncs your #Chrome bookmarks with your phone! #icecreamsandwich #google,positive,2
Yahoo Profit Drops 26 Per Cent! http://t.co/Jd3X8SGM #yahoo #microsoft,neutral,1
"Už vím, jaký bude můj příští mobil! http://t.co/UzI5aEXa #Google #Android #GalaxyNexus",neutral,1
BRB #twitter;p,neutral,1
@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,positive,2
"definitivamente irei MATAR esse #Twitter 
pq tento trocar a porr# da minha foto de smp
da EEEEEERRRO *-* EEEERRO

#Tomanocú",neutral,1
#Apple vs #Microsoft: Two Opposite Approaches to Building an OS http://t.co/ZAMoDZ9O #Windows8 #OSX #iOS5,neutral,1
"@NoVaTyler I lost a lot that I paid for @apple @WordsWFriends etc! #nothappy oh well, poop happens",neutral,1
"Haven't even freshened up, due to #Google's #IceCreamSandwichEvent. #OffToShower now.",neutral,1
@apple @siri is efffing amazing!!,positive,2
"Zero-day exploits are low in number, but pose big threat, experts say: http://t.co/Tk7i6fw4 #Microsoft #ITsecurity",neutral,1
@audrievv @apple You can still use  #MobileMe webhosting (with or without #iWeb) after converting to #iCloud.,neutral,1
"#Google and #Samsung unveil #Galaxy #Nexus, #Android 4 at event: http://t.co/oTqfW9XQ | #CTIA #Hong #Kong #conference #environments",neutral,1
