text,label,sentiment
The most boring and pointless movie I have ever endured.,0,very negative
Exceptional filmmaking at its absolute finest.,4,very positive
An embarrassment to everyone involved in its making.,0,very negative
An absolutely terrible movie with no redeeming qualities whatsoever.,0,very negative
The performances are adequate but unremarkable.,2,neutral
One of the best films ever made without question.,4,very positive
The film never quite finds its voice.,1,negative
A new low in filmmaking standards.,0,very negative
A transcendent cinematic experience.,4,very positive
A perfect movie that exceeds all possible expectations.,4,very positive
Fairly standard fare for this type of genre film.,2,neutral
An okay film for undemanding viewers.,2,neutral
An enjoyable watch that delivers on its promise.,3,positive
Not as good as expected and rather forgettable overall.,1,negative
The worst kind of cynical filmmaking possible.,0,very negative
Falls short of its potential in frustrating ways.,1,negative
A complete and utter failure on every conceivable level.,0,very negative
A mixed bag with both good and bad elements present.,2,neutral
Worth watching for fans of the genre.,3,positive
Stunning in every conceivable way imaginable.,4,very positive
Decent enough to pass the time.,2,neutral
The film has its moments both good and bad.,2,neutral
Disappointing performances undermine the story throughout.,1,negative
Takes no risks and achieves modest results.,2,neutral
A good film with several enjoyable performances.,3,positive
An average film with some decent moments throughout.,2,neutral
An abomination that wastes everyone's time and money.,0,very negative
A satisfying experience overall.,3,positive
Above average with several memorable scenes throughout.,3,positive
Neither great nor terrible in any particular way.,2,neutral
Better than expected in several ways.,3,positive
The film works more often than it doesn't.,3,positive
The movie has some significant issues that are hard to overlook.,1,negative
A brilliant achievement in storytelling and craft.,4,very positive
An uneven film with more misses than hits.,1,negative
A landmark achievement in filmmaking history.,4,very positive
Aggressively awful from the opening frame.,0,very negative
An engaging film with real charm.,3,positive
Unwatchable garbage that should never have been released.,0,very negative
Below average with several weak moments that stand out.,1,negative
Middle of the road entertainment.,2,neutral
Truly dreadful in ways I cannot begin to describe.,0,very negative
An instant classic that will endure forever.,4,very positive
Painfully bad acting combined with an incoherent plot.,0,very negative
It does exactly what you expect and nothing more.,2,neutral
Flawless execution of a brilliant concept.,4,very positive
Successfully balances drama and entertainment.,3,positive
Well-made and entertaining from start to finish.,3,positive
Phenomenal performances matched by superb direction.,4,very positive
The film fails to deliver on its promising premise.,1,negative
A letdown considering the talent involved.,1,negative
Neither offensive nor particularly memorable.,2,neutral
Doesn't live up to the hype surrounding it.,1,negative
Solid storytelling combined with good direction.,3,positive
The weak script hampers the solid performances.,1,negative
Serviceable entertainment without ambition.,2,neutral
An extraordinary film that sets a new standard.,4,very positive
The film achieves what it sets out to do.,3,positive
Insultingly stupid and remarkably incompetent.,0,very negative
The movie is watchable but nothing particularly special.,2,neutral
Nothing short of a miraculous achievement.,4,very positive
Manages to rise above its modest premise.,3,positive
A tour de force that redefines the genre entirely.,4,very positive
A competent if somewhat forgettable production.,2,neutral
Somewhat tedious despite a few bright spots.,1,negative
One of the worst films ever made in the history of cinema.,0,very negative
Strong performances carry the material effectively.,3,positive
The pacing issues hurt an otherwise serviceable film.,1,negative
A disaster from start to finish that insults the audience.,0,very negative
Mediocre execution of a decent concept.,1,negative
A lackluster effort that never quite comes together.,1,negative
An absolute masterpiece of cinematic achievement.,4,very positive
Sets a new benchmark for excellence.,4,very positive
So bad it approaches self-parody.,0,very negative
A pleasant surprise with genuine appeal.,3,positive
