id,response,respondent_id,timestamp,topic
1,Sustainable fashion is becoming essential not optional,R001,2024-04-01,sustainability
2,Fast fashion creates terrible environmental waste,R002,2024-04-02,fast_fashion
3,Vintage clothing allows unique personal expression,R003,2024-04-03,vintage
4,The fashion industry needs more size inclusivity,R004,2024-04-04,inclusivity
5,Social media has democratized fashion influence,R005,2024-04-05,social_media
6,Quality over quantity should guide purchasing decisions,R006,2024-04-06,quality
7,Fashion weeks still set important industry trends,R007,2024-04-07,fashion_week
8,Ethical manufacturing practices matter to consumers now,R008,2024-04-08,ethics
9,Personal style expresses individuality better than trends,R009,2024-04-09,personal_style
10,The resale market is reshaping fashion consumption,R010,2024-04-10,resale
11,Gender-neutral fashion is breaking traditional boundaries,R011,2024-04-11,gender_neutral
12,Luxury brands are adapting to younger demographics,R012,2024-04-12,luxury
13,Fashion photography shapes our perception of beauty,R013,2024-04-13,photography
14,Streetwear has become mainstream high fashion,R014,2024-04-14,streetwear
15,The cost of sustainable fashion is still prohibitive,R015,2024-04-15,cost
16,Fashion education should include sustainability principles,R016,2024-04-16,education
17,Cultural appropriation in fashion needs addressing,R017,2024-04-17,appropriation
18,Local designers deserve more recognition and support,R018,2024-04-18,local
19,Fashion influencers have replaced traditional magazines,R019,2024-04-19,influencers
20,The craftsmanship in haute couture is extraordinary,R020,2024-04-20,couture
21,Minimalist wardrobes reduce decision fatigue,R021,2024-04-21,minimalism
22,Fashion history informs contemporary design,R022,2024-04-22,history
23,Body positivity is changing fashion advertising,R023,2024-04-23,body_positivity
24,The fashion industry's carbon footprint is alarming,R024,2024-04-24,carbon
25,Rental fashion services offer sustainable alternatives,R025,2024-04-25,rental
26,Traditional tailoring is a dying art form,R026,2024-04-26,tailoring
27,Fashion should prioritize comfort alongside aesthetics,R027,2024-04-27,comfort
28,Digital fashion and NFTs represent an interesting future,R028,2024-04-28,digital
29,Workplace dress codes are becoming more relaxed,R029,2024-04-29,workplace
30,Fashion as self-care boosts confidence and wellbeing,R030,2024-04-30,wellbeing
31,Thrifting is both economical and environmentally conscious,R031,2024-05-01,thrift
32,The fashion industry exploits workers in developing countries,R032,2024-05-02,labor_rights
33,Capsule wardrobes simplify daily outfit choices,R033,2024-05-03,capsule
